V0,V-1,V-2,V-3,I0,ID0,dd-1,dd-2,dd-3,dv-1,dv-2,dv-3,dID-1,dID-2,dID-3,tag
8.0768,7.6973,7.887,7.9503,13.357,31.306,-7.8242E-05,0.0015949,-0.013844,0.00016718,-0.00099867,-0.00063249,-0.00098,0.0021166,-0.0012723,8
-0.18975,8.0768,7.6973,7.887,13.136,30.787,0.027676,-7.8242E-05,0.0015949,-0.027555,0.00016718,-0.00099867,-0.0017289,-0.00098,0.0021166,8
0.18975,-0.18975,8.0768,7.6973,12.845,30.105,-0.0026716,0.027676,-7.8242E-05,0.00054999,-0.027555,0.00016718,-0.0009887,-0.0017289,-0.00098,8
0.253,0.18975,-0.18975,8.0768,12.622,29.582,-0.026053,-0.0026716,0.027676,0.00063249,0.00054999,-0.027555,-0.0052241,-0.0009887,-0.0017289,8
0.253,0.253,0.18975,-0.18975,11.824,27.713,-0.018943,-0.026053,-0.0026716,0,0.00063249,0.00054999,-0.0093481,-0.0052241,-0.0009887,8
0.18975,0.253,0.253,0.18975,12.031,28.198,6.192E-05,-0.018943,-0.026053,-1.5773E-06,0,0.00063249,1.2111E-05,-0.0093481,-0.0052241,8
0.18975,0.18975,0.253,0.253,11.366,26.638,0.0032893,6.192E-05,-0.018943,0,-1.5773E-06,0,-0.0031839,1.2111E-05,-0.0093481,8
0.1265,0.18975,0.18975,0.253,11.267,26.406,-0.00064233,0.0032893,6.192E-05,-0.00063249,0,-1.5773E-06,-0.0023172,-0.0031839,1.2111E-05,8
0.253,0.1265,0.18975,0.18975,13.922,32.63,-0.009675,-0.00064233,0.0032893,9.1665E-05,-0.00063249,0,0.0045102,-0.0023172,-0.0031839,8
0.18975,0.253,0.1265,0.18975,14.203,33.288,0.049388,-0.009675,-0.00064233,-0.00063249,9.1665E-05,-0.00063249,0.0065789,0.0045102,-0.0023172,8
0.1265,0.18975,0.253,0.1265,13.739,32.2,-0.035837,0.049388,-0.009675,-0.00063249,-0.00063249,9.1665E-05,-0.010879,0.0065789,0.0045102,8
0.063249,0.1265,0.18975,0.253,13.468,31.565,-0.00061909,-0.035837,0.049388,-0.00070276,-0.00063249,-0.00063249,-0.007058,-0.010879,0.0065789,8
0.22137,0.063249,0.1265,0.18975,12.765,34.904,0.016437,-0.00061909,-0.035837,0.00079061,-0.00070276,-0.00063249,0.016695,-0.007058,-0.010879,8
0.18975,0.22137,0.063249,0.1265,12.599,29.53,-0.0031506,0.016437,-0.00061909,-0.00031624,0.00079061,-0.00070276,-0.053743,0.016695,-0.007058,8
0.31624,0.18975,0.22137,0.063249,12.929,40.402,-0.012613,-0.0031506,0.016437,0.001265,-0.00031624,0.00079061,0.10872,-0.053743,0.016695,8
0.063249,0.31624,0.18975,0.22137,12.681,29.72,0.00063011,-0.012613,-0.0031506,-2.019E-05,0.001265,-0.00031624,-0.00085245,0.10872,-0.053743,8
7.9503,0.063249,0.31624,0.18975,13.001,20.314,-0.0034708,0.00063011,-0.012613,0.0041952,-2.019E-05,0.001265,-0.0050033,-0.00085245,0.10872,8
-0.253,7.9503,0.063249,0.31624,13.298,20.779,0.015775,-0.0034708,0.00063011,-0.082032,0.0041952,-2.019E-05,0.0046479,-0.0050033,-0.00085245,8
-0.253,-0.253,7.9503,0.063249,13.771,21.517,0.012433,0.015775,-0.0034708,0,-0.082032,0.0041952,0.0082022,0.0046479,-0.0050033,8
0.18975,-0.253,-0.253,7.9503,11.823,18.474,0.005958,0.012433,0.015775,0.00049746,0,-0.082032,-0.0034194,0.0082022,0.0046479,8
-0.18975,0.18975,-0.253,-0.253,13.351,20.861,-0.0080714,0.005958,0.012433,-0.00054999,0.00049746,0,0.0034595,-0.0034194,0.0082022,8
-0.1265,-0.18975,-0.18975,-0.063249,12.697,19.839,0.056029,0.043434,0.017175,0.00063249,0,-0.001265,-0.014979,0.015009,-0.21126,8
-0.1265,-0.1265,-0.1265,-8.0135,12.938,20.216,-0.064224,0.0137,-0.013593,0,0,0.07887,-0.0023673,-0.0082367,-0.17214,8
-0.31624,-0.37949,-0.37949,-8.0768,14.656,125.95,0.017637,0.011289,-0.0079004,0.00033289,0,0.0059669,0.020161,0.014519,0.062998,8
