2018-06-30-16:30:41,0.0,0.0,0.0,0.0,1.0,0.0
2018-06-30-16:30:43,0.0,0.0,0.0,0.0,1.0,0.0
2018-06-30-16:30:45,0.0,0.0,0.0,0.0,1.0,0.0
2018-06-30-16:30:47,0.0,0.0,0.0,0.0,0.1,0.0
2018-06-30-16:30:49,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:01,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
2018-06-30-16:31:03,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:05,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:07,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:09,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:11,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:21,0.0,0.0,0.0,0.0,0.38461538461538464,0.0
2018-06-30-16:31:23,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:25,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:27,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30-16:31:29,0.0,0.0,0.0,0.0,0.5833333333333334,0.0
2018-06-30-16:31:31,0.0,0.0,0.0,0.0,1.0,0.0
2018-06-30-16:31:38,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0
2018-06-30-16:31:40,0.0,0.0,1.0,0.0,0.0,0.0
2018-06-30-16:31:42,0.0,0.0,1.0,0.0,0.0,0.0
2018-06-30-16:31:44,0.0,0.0,1.0,0.0,0.0,0.0
2018-06-30-16:31:46,0.0,0.0,1.0,0.0,0.0,0.0
2018-06-30-16:31:53,0.0,0.0,0.0,0.0,1.0,0.0
2018-06-30-16:31:56,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0
2018-06-30-16:31:58,0.0,0.0,0.6428571428571429,0.0,0.35714285714285715,0.0
2018-06-30-16:32:00,0.0,0.0,1.0,0.0,0.0,0.0
2018-06-30-16:32:02,0.0,0.0,1.0,0.0,0.0,0.0
2018-06-30-16:32:12,0.0,0.0,0.0,0.0,0.0,1.0
2018-06-30-16:32:14,0.0,0.0,0.0,0.0,0.0,1.0
2018-06-30-16:32:26,0.0,0.0,0.0,0.0,1.0,0.0
2018-06-30-16:32:28,0.0,0.0,0.0,0.0,1.0,0.0
2018-06-30-16:32:30,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
2018-06-30-16:32:32,0.0,0.0,0.0,0.0,0.0,1.0
2018-06-30-16:32:34,0.0,0.0,0.0,0.0,0.0,1.0
2018-06-30-16:32:36,0.0,0.0,0.0,0.0,0.0,1.0
2018-06-30-16:32:45,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
